"group","id","time","y"
30,5,31,4
30,5,32,4
30,5,33,4
30,5,34,4
30,5,35,3
30,5,36,6
30,5,37,5
30,5,38,5
30,5,39,3
30,5,40,4
30,5,41,3
30,5,42,3
30,5,43,3
30,5,44,3
30,5,45,5
30,5,46,4
30,5,47,5
30,5,48,5
30,5,49,4
30,5,50,5
30,5,51,4
30,5,52,4
30,5,53,5
30,5,54,4
30,5,55,5
30,5,56,4
30,5,57,4
30,5,58,3
30,5,59,5
30,5,60,5
30,5,61,4
30,5,62,4
30,5,63,4
30,5,64,4
30,5,65,5
30,5,66,4
30,5,67,5
30,5,68,5
30,5,69,4
30,5,70,5
30,5,71,5
30,5,72,3
30,5,73,4
30,5,74,5
30,5,75,4
30,5,76,5
30,5,77,5
30,5,78,4
30,5,79,5
30,5,80,4
30,6,1,2
30,6,2,3
30,6,3,3
30,6,4,5
30,6,5,3
30,6,6,4
30,6,7,5
30,6,8,5
30,6,9,4
30,6,10,4
30,6,11,4
30,6,12,4
30,6,13,4
30,6,14,4
30,6,15,5
30,6,16,5
30,6,17,4
30,6,18,4
30,6,19,4
30,6,20,4
30,6,21,5
30,6,22,4
30,6,23,4
30,6,24,5
30,6,25,6
30,6,26,4
30,6,27,4
30,6,28,2
30,6,29,5
30,6,30,3
30,6,31,4
30,6,32,4
30,6,33,4
30,6,34,4
30,6,35,6
30,6,36,3
30,6,37,4
30,6,38,4
30,6,39,4
30,6,40,4
30,6,41,5
30,6,42,5
30,6,43,4
30,6,44,4
30,6,45,4
30,6,46,3
30,6,47,5
30,6,48,4
30,6,49,5
30,6,50,6
30,6,51,5
30,6,52,4
30,6,53,4
30,6,54,5
30,6,55,5
30,6,56,5
30,6,57,5
30,6,58,4
30,6,59,4
30,6,60,4
30,6,61,4
30,6,62,3
30,6,63,4
30,6,64,5
30,6,65,4
30,6,66,4
30,6,67,5
30,6,68,4
30,6,69,4
30,6,70,4
30,6,71,4
30,6,72,5
30,6,73,5
30,6,74,4
30,6,75,4
30,6,76,4
30,6,77,5
30,6,78,4
30,6,79,4
30,6,80,4
31,1,1,4
31,1,2,3
31,1,3,5
31,1,4,5
31,1,5,4
31,1,6,2
31,1,7,5
31,1,8,3
31,1,9,4
31,1,10,3
31,1,11,4
31,1,12,5
31,1,13,3
31,1,14,5
31,1,15,5
31,1,16,5
31,1,17,4
31,1,18,4
31,1,19,3
31,1,20,4
31,1,21,6
31,1,22,5
31,1,23,5
31,1,24,4
31,1,25,5
31,1,26,3
31,1,27,4
31,1,28,3
31,1,29,3
31,1,30,3
31,1,31,4
31,1,32,4
31,1,33,5
31,1,34,5
31,1,35,4
31,1,36,3
31,1,37,4
31,1,38,5
31,1,39,3
31,1,40,4
31,1,41,4
31,1,42,5
31,1,43,4
31,1,44,3
31,1,45,3
31,1,46,4
31,1,47,4
31,1,48,4
31,1,49,4
31,1,50,6
31,1,51,4
31,1,52,5
31,1,53,4
31,1,54,4
31,1,55,4
31,1,56,4
31,1,57,3
31,1,58,4
31,1,59,5
31,1,60,4
31,1,61,4
31,1,62,5
31,1,63,3
31,1,64,4
31,1,65,5
31,1,66,3
31,1,67,4
31,1,68,4
31,1,69,4
31,1,70,4
31,1,71,4
31,1,72,5
31,1,73,5
31,1,74,4
31,1,75,4
31,1,76,4
31,1,77,4
31,1,78,4
31,1,79,5
31,1,80,5
31,2,1,4
31,2,2,5
31,2,3,2
31,2,4,3
31,2,5,5
31,2,6,4
31,2,7,5
31,2,8,3
31,2,9,5
31,2,10,5
31,2,11,2
31,2,12,3
31,2,13,4
31,2,14,4
31,2,15,4
31,2,16,5
31,2,17,4
31,2,18,4
31,2,19,3
31,2,20,4
31,2,21,4
31,2,22,3
31,2,23,5
31,2,24,5
31,2,25,4
31,2,26,5
31,2,27,4
31,2,28,4
31,2,29,4
31,2,30,4
31,2,31,3
31,2,32,4
31,2,33,4
31,2,34,4
31,2,35,5
31,2,36,3
31,2,37,3
31,2,38,5
31,2,39,5
31,2,40,4
31,2,41,4
31,2,42,4
31,2,43,4
31,2,44,4
31,2,45,4
31,2,46,4
31,2,47,3
31,2,48,5
31,2,49,3
31,2,50,4
31,2,51,5
31,2,52,4
31,2,53,5
31,2,54,5
31,2,55,3
31,2,56,3
31,2,57,5
31,2,58,5
31,2,59,5
31,2,60,3
31,2,61,5
31,2,62,4
31,2,63,5
31,2,64,4
31,2,65,5
31,2,66,4
31,2,67,5
31,2,68,4
31,2,69,5
31,2,70,4
31,2,71,5
31,2,72,4
31,2,73,4
31,2,74,4
31,2,75,5
31,2,76,4
31,2,77,4
31,2,78,4
31,2,79,4
31,2,80,3
31,3,1,4
31,3,2,2
31,3,3,4
31,3,4,5
31,3,5,3
31,3,6,6
31,3,7,3
31,3,8,4
31,3,9,5
31,3,10,4
31,3,11,4
31,3,12,4
31,3,13,5
31,3,14,3
31,3,15,4
31,3,16,4
31,3,17,5
31,3,18,4
31,3,19,5
31,3,20,5
31,3,21,4
31,3,22,5
31,3,23,3
31,3,24,5
31,3,25,4
31,3,26,5
31,3,27,4
31,3,28,4
31,3,29,4
31,3,30,4
31,3,31,3
31,3,32,4
31,3,33,4
31,3,34,3
31,3,35,4
31,3,36,3
31,3,37,4
31,3,38,4
31,3,39,5
31,3,40,4
31,3,41,5
31,3,42,5
31,3,43,4
31,3,44,5
31,3,45,4
31,3,46,4
31,3,47,4
31,3,48,4
31,3,49,4
31,3,50,4
31,3,51,4
31,3,52,4
31,3,53,4
31,3,54,4
31,3,55,4
31,3,56,5
31,3,57,4
31,3,58,4
31,3,59,5
31,3,60,4
31,3,61,4
31,3,62,4
31,3,63,4
31,3,64,3
31,3,65,5
31,3,66,4
31,3,67,4
31,3,68,5
31,3,69,4
31,3,70,4
31,3,71,4
31,3,72,4
31,3,73,4
31,3,74,4
31,3,75,4
31,3,76,4
31,3,77,4
31,3,78,4
31,3,79,4
31,3,80,4
31,4,1,4
31,4,2,3
31,4,3,3
31,4,4,4
31,4,5,5
31,4,6,4
31,4,7,4
31,4,8,5
31,4,9,3
31,4,10,4
31,4,11,4
31,4,12,3
31,4,13,4
31,4,14,5
31,4,15,4
31,4,16,4
31,4,17,5
31,4,18,4
31,4,19,4
31,4,20,4
31,4,21,4
31,4,22,4
31,4,23,4
31,4,24,4
31,4,25,4
31,4,26,5
31,4,27,4
31,4,28,4
31,4,29,4
31,4,30,5
31,4,31,3
31,4,32,4
31,4,33,5
31,4,34,4
31,4,35,5
31,4,36,5
31,4,37,4
31,4,38,3
31,4,39,3
31,4,40,3
31,4,41,3
31,4,42,4
31,4,43,6
31,4,44,4
31,4,45,4
31,4,46,3
31,4,47,4
31,4,48,5
31,4,49,4
31,4,50,3
31,4,51,4
31,4,52,4
31,4,53,3
31,4,54,4
31,4,55,4
31,4,56,5
31,4,57,4
31,4,58,4
31,4,59,5
31,4,60,4
31,4,61,4
31,4,62,4
31,4,63,4
31,4,64,5
31,4,65,4
31,4,66,4
31,4,67,4
31,4,68,4
31,4,69,5
31,4,70,4
31,4,71,4
31,4,72,5
31,4,73,4
31,4,74,4
31,4,75,5
31,4,76,4
31,4,77,5
31,4,78,4
31,4,79,4
31,4,80,4
31,5,1,4
31,5,2,3
31,5,3,4
31,5,4,3
31,5,5,4
31,5,6,3
31,5,7,4
31,5,8,5
31,5,9,3
31,5,10,5
31,5,11,3
31,5,12,2
31,5,13,5
31,5,14,5
31,5,15,4
31,5,16,4
31,5,17,3
31,5,18,2
31,5,19,4
31,5,20,5
31,5,21,4
31,5,22,5
31,5,23,4
31,5,24,5
31,5,25,3
31,5,26,4
31,5,27,4
31,5,28,2
31,5,29,4
31,5,30,3
31,5,31,4
31,5,32,4
31,5,33,3
31,5,34,4
31,5,35,5
31,5,36,3
31,5,37,4
31,5,38,4
31,5,39,6
31,5,40,5
31,5,41,4
31,5,42,4
31,5,43,4
31,5,44,3
31,5,45,4
31,5,46,5
31,5,47,4
31,5,48,4
31,5,49,4
31,5,50,5
31,5,51,3
31,5,52,3
31,5,53,5
31,5,54,3
31,5,55,3
31,5,56,4
31,5,57,4
31,5,58,4
31,5,59,5
31,5,60,4
31,5,61,4
31,5,62,4
31,5,63,4
31,5,64,4
31,5,65,3
31,5,66,4
31,5,67,4
31,5,68,5
31,5,69,4
31,5,70,4
31,5,71,3
31,5,72,4
31,5,73,5
31,5,74,5
31,5,75,4
31,5,76,4
31,5,77,4
31,5,78,4
31,5,79,4
31,5,80,4
31,6,1,2
31,6,2,4
31,6,3,3
31,6,4,4
31,6,5,2
31,6,6,5
31,6,7,5
31,6,8,4
31,6,9,4
31,6,10,3
31,6,11,4
31,6,12,5
31,6,13,5
31,6,14,3
31,6,15,3
31,6,16,5
31,6,17,5
31,6,18,3
31,6,19,3
31,6,20,4
31,6,21,5
31,6,22,4
31,6,23,4
31,6,24,4
31,6,25,3
31,6,26,4
31,6,27,3
31,6,28,4
31,6,29,5
31,6,30,5
31,6,31,5
31,6,32,4
31,6,33,4
31,6,34,4
31,6,35,3
31,6,36,3
31,6,37,5
31,6,38,3
31,6,39,5
31,6,40,5
31,6,41,4
31,6,42,4
31,6,43,4
31,6,44,4
31,6,45,5
31,6,46,4
31,6,47,3
31,6,48,4
31,6,49,4
31,6,50,3
31,6,51,4
31,6,52,3
31,6,53,4
31,6,54,4
31,6,55,4
31,6,56,3
31,6,57,5
31,6,58,4
31,6,59,4
31,6,60,3
31,6,61,4
31,6,62,4
31,6,63,3
31,6,64,4
31,6,65,5
31,6,66,4
31,6,67,4
31,6,68,5
31,6,69,4
31,6,70,4
31,6,71,4
31,6,72,4
31,6,73,4
31,6,74,4
31,6,75,4
31,6,76,4
31,6,77,4
31,6,78,4
31,6,79,4
31,6,80,4
32,1,1,3
32,1,2,5
32,1,3,4
32,1,4,6
32,1,5,4
32,1,6,3
32,1,7,4
32,1,8,4
32,1,9,5
32,1,10,4
32,1,11,5
32,1,12,4
32,1,13,4
32,1,14,4
32,1,15,5
32,1,16,4
32,1,17,4
32,1,18,2
32,1,19,5
32,1,20,5
32,1,21,4
32,1,22,6
32,1,23,5
32,1,24,3
32,1,25,4
32,1,26,4
32,1,27,4
32,1,28,3
32,1,29,3
32,1,30,4
32,1,31,4
